"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation","url_source","project_pi","project_pi_contact"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.006287794","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.009229665","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.007638262","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.007611548","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.005403718","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.005750885","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.005479957","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.005947503","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.00675668","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf dry mass","0.005890349","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","162469.5","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","191460.8","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","151297.3","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","205699.4","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","196685.3","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","188645.9","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","129513.5","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","127888.7","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","122907.6","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","137288.2","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant height","0.082","m",NA,"40.6","-3.75",NA,"http://datadryad.org/resource/doi:10.5061/dryad.53550","Carmona CP","carlos.perez@uam.es"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","139322.8","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf photosynthetic rate per leaf area","132167.7","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","36.4977356804784","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","42.595025241812","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","41.559184226461","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","44.8696894479054","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","38.8349514563107","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","40.3483352478618","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","41.7232016048412","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","44.9678704565588","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","44.5859901010185","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","43.3213058947734","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","48.4966052376334","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","whole plant leaf area per whole plant leaf dry mass","44.5672122584791","m2·kg-1","Dry mass/scanned leaf section area: WinFOLIA, Regent Instruments, QC, CA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf carbon content per leaf nitrogen content","10.78388",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Bromus hordeaceus","leaf carbon content per leaf nitrogen content","7.91427",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
